| Collection File | Total | Uploaded to R2 | % Status |
| gulbenkian-collection | 211 | 0 | 🔴 0.0% |
| kroller-muller-photography | 206 | 206 | 🟢 100.0% |
| busan-museum | 198 | 197 | 🟡 99.5% |
| mah-collection-1771378628244 | 180 | 0 | 🔴 0.0% |
| gem-collection | 175 | 0 | 🔴 0.0% |
| mfah-paintings | 168 | 0 | 🔴 0.0% |
| gdmoa-online-collection-all | 164 | 0 | 🔴 0.0% |
| smb-test-collection | 135 | 0 | 🔴 0.0% |
| rouen-mba-collection | 134 | 132 | 🟡 98.5% |
| tate-st-ives-artworks | 121 | 0 | 🔴 0.0% |
| egyptian-museum-cairo-collection | 115 | 0 | 🔴 0.0% |
| frida-timeline | 113 | 0 | 🔴 0.0% |
| nmc-highlights-all | 107 | 107 | 🟢 100.0% |
| npm-selection-painting | 105 | 105 | 🟢 100.0% |
| vatican-collection | 102 | 102 | 🟢 100.0% |
| dpm-intl-paintings-100 | 100 | 0 | 🔴 0.0% |
| jmoa-collection-100 | 100 | 0 | 🔴 0.0% |
| ngprague-collection-test | 100 | 0 | 🔴 0.0% |
| nmc-highlights-100 | 100 | 0 | 🔴 0.0% |
| saam-paintings-100 | 100 | 0 | 🔴 0.0% |
| tfam-collection-100 | 100 | 0 | 🔴 0.0% |
| lille-pba-collection | 99 | 99 | 🟢 100.0% |
| search-index-part-tepapa | 99 | 0 | 🔴 0.0% |
| kroller-muller-film-video | 97 | 87 | 🟡 89.7% |
| acropolis-museum-collection | 90 | 0 | 🔴 0.0% |
| today-art-museum | 80 | 0 | 🔴 0.0% |
| crystal-bridges-gac | 72 | 0 | 🔴 0.0% |
| adachi-collection | 59 | 59 | 🟢 100.0% |
| lee-jung-seop-collection | 56 | 56 | 🟢 100.0% |
| topkapi-collection | 54 | 0 | 🔴 0.0% |
| long-museum-collection | 52 | 52 | 🟢 100.0% |
| soam-memorial-collection | 50 | 50 | 🟢 100.0% |
| tobikan-collection | 48 | 48 | 🟢 100.0% |
| gidang-collection | 45 | 45 | 🟢 100.0% |
| v3-untouched-targets | 42 | 0 | 🔴 0.0% |
| dumoak-kim-work-all | 40 | 40 | 🟢 100.0% |
| kim-tschang-yeul-collection | 36 | 0 | 🔴 0.0% |
| musee-granet-collection | 30 | 30 | 🟢 100.0% |
| louisiana-new | 24 | 0 | 🔴 0.0% |
| louisiana-test | 24 | 0 | 🔴 0.0% |
| mah-collection-1771381366191 | 20 | 0 | 🔴 0.0% |
| mah-collection-1771386709434 | 20 | 0 | 🔴 0.0% |
| mah-collection-1771390199205 | 20 | 0 | 🔴 0.0% |
| mah-collection-1771390292711 | 20 | 0 | 🔴 0.0% |
| tate-collection-highlights-artworks | 20 | 0 | 🔴 0.0% |
| banrep-collection | 15 | 0 | 🔴 0.0% |
| museo-del-prado-artworks.full | 12 | 0 | 🔴 0.0% |
| nmec-collection | 8 | 0 | 🔴 0.0% |
| house-of-refuge-collection | 7 | 0 | 🔴 0.0% |
| dumoak-kim-work-category8 | 5 | 0 | 🔴 0.0% |
| ngv-trove-collection-fixed | 5 | 0 | 🔴 0.0% |
| aic-test | 1 | 0 | 🔴 0.0% |
| zeitz-mocaa-collection | 1 | 0 | 🔴 0.0% |
| agnsw-trove-collection | 0 | 0 | 🔴 0.0% |
| mfa-boston | 0 | 0 | 🔴 0.0% |
| ngv-trove-collection | 0 | 0 | 🔴 0.0% |
| si-nasm | 0 | 0 | 🔴 0.0% |
| **TOTAL** | **1583608** | **194519** | **12.3%** |
